title,rating,year,actors,runtime,url
Rebecca,8.1,1940,Laurence Olivier;Joan Fontaine;George Sanders;Judith Anderson,130,https://www.imdb.com/title/tt0032976/
De dictator,8.4,1940,Charles Chaplin;Paulette Goddard;Jack Oakie;Reginald Gardiner,125,https://www.imdb.com/title/tt0032553/
The Grapes of Wrath,8.1,1940,Henry Fonda;Jane Darwell;John Carradine;Charley Grapewin,129,https://www.imdb.com/title/tt0032551/
The Shop Around the Corner,8.1,1940,Margaret Sullavan;James Stewart;Frank Morgan;Joseph Schildkraut,99,https://www.imdb.com/title/tt0033045/
His Girl Friday,7.9,1940,Cary Grant;Rosalind Russell;Ralph Bellamy;Gene Lockhart,92,https://www.imdb.com/title/tt0032599/
Sullivan's Travels,7.9,1941,Joel McCrea;Veronica Lake;Robert Warwick;William Demarest,90,https://www.imdb.com/title/tt0034240/
Citizen Kane,8.3,1941,Orson Welles;Joseph Cotten;Dorothy Comingore;Agnes Moorehead,119,https://www.imdb.com/title/tt0033467/
The Maltese Falcon,8.0,1941,Humphrey Bogart;Mary Astor;Gladys George;Peter Lorre,100,https://www.imdb.com/title/tt0033870/
The Little Foxes,8.0,1941,Bette Davis;Herbert Marshall;Teresa Wright;Richard Carlson,116,https://www.imdb.com/title/tt0033836/
Acht professoren en een meisje,7.8,1941,Gary Cooper;Barbara Stanwyck;Oskar Homolka;Henry Travers,111,https://www.imdb.com/title/tt0033373/
The Ox-Bow Incident,8.0,1942,Henry Fonda;Dana Andrews;Mary Beth Hughes;Anthony Quinn,75,https://www.imdb.com/title/tt0036244/
Gevangenen van 't verleden,8.0,1942,Ronald Colman;Greer Garson;Philip Dorn;Susan Peters,126,https://www.imdb.com/title/tt0035238/
Casablanca,8.5,1942,Humphrey Bogart;Ingrid Bergman;Paul Henreid;Claude Rains,102,https://www.imdb.com/title/tt0034583/
Spionnage in het spel,8.2,1942,Carole Lombard;Jack Benny;Robert Stack;Felix Bressart,99,https://www.imdb.com/title/tt0035446/
"Now, Voyager",7.9,1942,Bette Davis;Paul Henreid;Claude Rains;Gladys Cooper,117,https://www.imdb.com/title/tt0035140/
Le corbeau,7.9,1943,Pierre Fresnay;Ginette Leclerc;Micheline Francey;Héléna Manson,92,https://www.imdb.com/title/tt0035753/
De dag des oordeels,8.1,1943,Thorkild Roose;Lisbeth Movin;Sigrid Neiiendam;Kirsten Andreasen,97,https://www.imdb.com/title/tt0036506/
Shadow of a Doubt,7.8,1943,Teresa Wright;Joseph Cotten;Macdonald Carey;Henry Travers,108,https://www.imdb.com/title/tt0036342/
Arsenicum en oude kant,8.0,1943,Cary Grant;Priscilla Lane;Raymond Massey;Jack Carson,118,https://www.imdb.com/title/tt0036613/
The Life and Death of Colonel Blimp,8.1,1943,Roger Livesey;Deborah Kerr;Anton Walbrook;James McKechnie,163,https://www.imdb.com/title/tt0036112/
